Wall time,Step,Value
1628843845.7903724,515,0.9633333086967468
1628843881.2835255,517,0.9633333086967468
1628843896.75374,518,0.9633333086967468
1628843914.4330537,519,0.9633333086967468
1628843932.0820258,520,0.9633333086967468
1628843950.2076516,521,0.9616666436195374
1628843968.0412657,522,0.9616666436195374
1628844003.2460682,524,0.9616666436195374
1628844053.4887195,527,0.9616666436195374
1628844121.9662144,531,0.9599999785423279
1628844157.1161757,533,0.9599999785423279
1628844174.8579586,534,0.9599999785423279
1628844192.695686,535,0.9599999785423279
1628844210.2102683,536,0.9599999785423279
1628844228.156621,537,0.9599999785423279
1628844245.9687371,538,0.9599999785423279
1628844263.725261,539,0.9599999785423279
1628844273.5064502,540,0.9583333134651184
1628844291.1969442,541,0.9583333134651184
1628844309.1461015,542,0.9583333134651184
1628844326.7729533,543,0.9583333134651184
1628844344.809396,544,0.9583333134651184
1628844362.1979892,545,0.9583333134651184
1628844397.7182364,547,0.9583333134651184
1628844415.5235238,548,0.9583333134651184
1628844468.7994354,551,0.9566666483879089
1628844504.2368488,553,0.9566666483879089
1628844522.0758207,554,0.9566666483879089
1628844539.869742,555,0.9566666483879089
1628844557.6137335,556,0.9566666483879089
1628844573.4726338,557,0.9566666483879089
1628844609.2786415,559,0.9566666483879089
1628844679.9419725,563,0.9549999833106995
1628844697.7875767,564,0.9549999833106995
1628844715.579944,565,0.9549999833106995
1628844751.2938595,567,0.9549999833106995
1628844769.0770986,568,0.9549999833106995
1628844787.0172951,569,0.9549999833106995
1628844804.7833533,570,0.95333331823349
1628844840.6469204,572,0.95333331823349
1628844876.0111253,574,0.95333331823349
1628844929.4648037,577,0.95333331823349
1628845000.2892509,581,0.9516666531562805
1628845070.7783537,585,0.9516666531562805
1628845088.4407125,586,0.9516666531562805
1628845106.3169405,587,0.9516666531562805
1628845141.5853922,589,0.949999988079071
1628845159.3099546,590,0.949999988079071
1628845177.071479,591,0.949999988079071
1628845191.8379822,592,0.949999988079071
1628845209.5446684,593,0.949999988079071
1628845245.1679935,595,0.949999988079071
1628845262.9336503,596,0.949999988079071
1628845280.7880147,597,0.949999988079071
1628845298.7103739,598,0.949999988079071
1628845316.4111862,599,0.9483333230018616
1628845333.9927783,600,0.9483333230018616
1628845369.0501158,602,0.9483333230018616
1628845386.821866,603,0.9483333230018616
1628845404.7157266,604,0.9483333230018616
1628845440.3454845,606,0.9483333230018616
1628845475.9824376,608,0.9483333230018616
1628845493.889316,609,0.9466666579246521
1628845511.7546513,610,0.9466666579246521
1628845529.4099922,611,0.9466666579246521
1628845582.5848284,614,0.9466666579246521
1628845600.1648405,615,0.9466666579246521
1628845635.774013,617,0.9466666579246521
1628845653.3111167,618,0.9466666579246521
1628845671.0973496,619,0.9449999928474426
1628845706.9340396,621,0.9449999928474426
1628845739.3629344,623,0.9449999928474426
1628845757.1845028,624,0.9449999928474426
1628845792.8178742,626,0.9449999928474426
1628845810.5673778,627,0.9449999928474426
1628845828.292723,628,0.9449999928474426
1628845846.110351,629,0.9433333277702332
1628845863.562565,630,0.9433333277702332
1628845917.2108936,633,0.9433333277702332
1628845934.989172,634,0.9433333277702332
1628845952.6982281,635,0.9433333277702332
1628845970.3189542,636,0.9433333277702332
1628846005.8300245,638,0.9433333277702332
1628846059.2627513,641,0.9416666626930237
1628846077.0669923,642,0.9416666626930237
1628846095.0841484,643,0.9416666626930237
1628846113.1455355,644,0.9416666626930237
1628846130.897303,645,0.9416666626930237
1628846148.4213753,646,0.9416666626930237
1628846201.2222478,649,0.9399999976158142
1628846218.9574192,650,0.9399999976158142
1628846254.0496733,652,0.9399999976158142
1628846271.8481338,653,0.9399999976158142
1628846289.6932142,654,0.9399999976158142
1628846307.4696531,655,0.9399999976158142
1628846325.2435992,656,0.9399999976158142
1628846378.456228,659,0.9383333325386047
1628846396.1099913,660,0.9383333325386047
1628846413.5634098,661,0.9383333325386047
1628846431.4676657,662,0.9383333325386047
1628846538.1712637,668,0.9366666674613953
1628846573.6170647,670,0.9366666674613953
1628846591.4185884,671,0.9366666674613953
1628846644.6533287,674,0.9366666674613953
1628846680.4320912,676,0.9366666674613953
1628846698.0822344,677,0.9366666674613953
1628846715.7936995,678,0.9350000023841858
1628846733.2142084,679,0.9350000023841858
1628846751.1578114,680,0.9350000023841858
1628846768.9567714,681,0.9350000023841858
1628846804.3844237,683,0.9350000023841858
1628846822.0733452,684,0.9350000023841858
1628846839.8498664,685,0.9350000023841858
1628846857.6698134,686,0.9350000023841858
1628846893.0863945,688,0.9333333373069763
1628846910.9335797,689,0.9333333373069763
1628846928.6309917,690,0.9333333373069763
1628846946.3659308,691,0.9333333373069763
1628846981.9638727,693,0.9333333373069763
1628846999.7713854,694,0.9333333373069763
1628847017.731578,695,0.9333333373069763
1628847035.4983053,696,0.9333333373069763
1628847053.4565482,697,0.9316666722297668
1628847071.161493,698,0.9316666722297668
1628847106.5304368,700,0.9316666722297668
1628847155.5034788,703,0.9316666722297668
1628847173.41774,704,0.9316666722297668
1628847208.8331423,706,0.9316666722297668
1628847279.5107539,710,0.9300000071525574
1628847297.2394974,711,0.9300000071525574
1628847332.5969937,713,0.9300000071525574
1628847350.2735887,714,0.9300000071525574
1628847385.5520363,716,0.9300000071525574
1628847420.395926,718,0.9283333420753479
1628847455.9262254,720,0.9283333420753479
1628847473.789787,721,0.9283333420753479
1628847491.5819507,722,0.9283333420753479
1628847527.2967033,724,0.9283333420753479
1628847544.8422072,725,0.9283333420753479
1628847562.378139,726,0.9283333420753479
1628847580.175193,727,0.9266666769981384
1628847597.8715255,728,0.9266666769981384
1628847615.7336748,729,0.9266666769981384
1628847633.259688,730,0.9266666769981384
1628847650.9954445,731,0.9266666769981384
1628847668.7631736,732,0.9266666769981384
1628847686.391188,733,0.9266666769981384
1628847703.9901865,734,0.9266666769981384
1628847739.6560104,736,0.9266666769981384
1628847793.2453609,739,0.925000011920929
1628847810.8789427,740,0.925000011920929
1628847828.5260756,741,0.925000011920929
1628847863.975255,743,0.925000011920929
1628847881.8696852,744,0.925000011920929
1628847899.5699465,745,0.925000011920929
1628847915.8519135,746,0.925000011920929
1628847933.335905,747,0.9233333468437195
1628848020.699285,752,0.9233333468437195
1628848038.438703,753,0.9233333468437195
1628848086.375139,756,0.92166668176651
1628848103.9665596,757,0.92166668176651
1628848139.5486307,759,0.92166668176651
1628848157.2633033,760,0.92166668176651
1628848228.3116634,764,0.92166668176651
1628848246.0296233,765,0.92166668176651
